clinic_id,clinic_name
12504,"David M. Frisch, M.D."
12506,"Quality Care Internists, LLC"
12507,The Allergy Center
12510,Hayden Family Medical Center
12515,Complete Care Health Centers
12521,HJA
12523,Buffalo OB/GYN
12524,"Daniel S. Forrer D.O., P.A"
12529,OrthoNC
12531,"Gregory J. Cuozzo, MD"
12532,"Mae Obermeyer, MD"
12539,Delta Health Clinics
12543,"Marcus Parker, MD"
12544,FEMM Health Center
12546,Southwestern Cardiac Arrhythmia Institute
12549,Henry Mayo Newhall Urgent Care Center
12550,Alonso Med & Wellness Ctr
12556,Cornerstone Charitable Clinic
12557,Neurology Children's Specialty Clinic
12560,Augusta Foot & Ankle
12563,LCS Healthcare Group
12565,Premier Sleep Associates.
12569,Snake River Community Clinic
12572,Neurology and Pain Consultants
12573,Elite Care Family Medicine
12574,ATLAS Medical Services
12576,Midwest Orthopaedics at Rush
12577,Surgical Care PC
12578,Gibbs Family Practice
12580,Columbus Cardiology Associates
12582,Joan Y Lyn DO
12583,Eastside Neurology Inc
12585,"Sheldon T Warman, MD, PA"
12587,Dr. Carlos Cruz
12590,Livia A Delgado MD
12591,Ally Healthcare
12595,Columbus Shoulder Surgery & Sports Medicine
12598,Humbard Family Clinic
12600,Samaritan Health Ministries
12602,"Erika Hegland, DO"
12603,Mid America Sleep Service
12604,Bridgeway Rehabilitation Services
12607,Dr.'s Choice Physical Therapy
12608,Physicians Care of Starke & Keystone
12610,New Haven Neurosurgical Associates
12611,"DBHMD Medicine, P.A."
12612,Fremont Family Medicine PC
12615,Stoney Mesa Family Practice
12616,"Amity Medical Group, Inc."
12618,Gary W. Muller M.D.
12621,"George N. Chidi, MD PA"
12622,"New York Dermatology & Mohs Surgery Group, PLLC"
12623,Sound Beach Pediatrics
12624,Sacred Heart Pediatrics
12625,"Mahesh Mathews, MD"
12626,Adam Milik MD
12631,Dr. David Matthews
12635,"Thomasville Internal Medicine, LLC"
12636,Regis Kwo MD
12638,"Monahan, Kevin"
12639,AVICENNA MEDICAL CLINIC
12641,SDM-1 Stop Primary and Urgent Care
12642,Achilles Health Care Services
12645,Foot and Ankle Care of South Jersey
12646,Adeeb Thomas
12647,Kingdom Natural Medicine
12649,David L Samani MD
12650,"Juan Martin MD, PLLC"
12656,Iraan General Clinic
12660,Zito / Goldstein
12662,"Patricia Lopez Po, MD"
12663,Dr. David Zekser
12664,Dream Sleep Testing
12677,Advanced Family & Urgent Care
12678,"Michael Goodman, MD"
12680,"Texas Urology Group, PA"
12684,Education Plus Health
12685,"John A Walsh, MD"
12686,Huebner Family Medicine
12691,Ergomedica
12693,Altamonte Family Practice
12694,Open Health Care Clinic
12695,Dr. Richard Handelsman
12696,Women's CenterforIntegrative Health
12697,Eastern Urological Associates
